gene,fold.change,p.adjvalue,rank,pvalue
Dok1,-0.008848628,0.984087759,-2.00E-01,0.631180206
Dok2,0.036930634,0.823379565,7.21E-01,0.190136486
Dok3,-0.000499011,0.999774489,-1.36E-02,0.969239145
Dok4,0.05133997,0.847756824,6.78E-01,0.209935397
Dok5,0.005433535,1,2.04E-01,0.624753135
Dok6,0.004129432,1,9.46E-02,0.804237987
Dok7,0.00369897,1,4.37E-02,0.904205052
Dolk,-0.000659602,0.999774489,-8.11E-03,0.981504459
Dolpp1,-0.002910893,0.999774489,-5.12E-02,0.888830438
Donson,0.029647986,0.86432304,6.48E-01,0.224911957
Dop1a,0.019383874,0.95342102,3.97E-01,0.400491043
Dop1b,-0.011464085,0.973076307,-2.75E-01,0.530356963
Dot1l,0.31968325,0.138324857,2.25E+00,0.005648081
Dpagt1,0.010850954,0.983658867,2.05E-01,0.623617525
Dpcd,-0.057463448,0.809491181,-7.46E-01,0.179561784
Dpep1,0.057166861,0.823436116,7.19E-01,0.190843753
Dpep2,0.142532353,0.468495735,1.35E+00,0.044562155
Dpep3,-0.001435818,1,-2.30E-02,0.948427576
Dpf1,0.751529739,0.030846862,3.21E+00,0.000612461
Dpf2,-0.000190046,0.999774489,-4.80E-03,0.988998074
Dpf3,0.04543499,0.908793312,5.35E-01,0.291471539
Dph1,0.011259692,0.990506203,1.68E-01,0.678921252
Dph2,-0.006344611,0.998339739,-9.65E-02,0.800711776
Dph3,-0.00535451,0.994904172,-1.16E-01,0.765971474
Dph5,-0.002251797,0.999774489,-3.95E-02,0.913041653
Dph6,-0.053704879,0.787932787,-7.88E-01,0.162931893
Dph7,-0.031992547,0.926071244,-4.74E-01,0.335893376
Dpm1,0,1,0.00E+00,
Dpm2,-0.022905161,0.930897267,-4.61E-01,0.346085262
Dpm3,-0.031323698,0.930131127,-4.66E-01,0.342273153
Dpp10,0.099233458,1,1.97E+00,0.010618449
Dpp3,-0.01375674,0.970965247,-3.04E-01,0.496390168
Dpp4,0.00024149,0.999774489,5.57E-03,0.98725418
Dpp6,0.020467855,1,3.37E-01,0.460218205
Dpp7,0.290704848,0.189866542,2.04E+00,0.009137897
Dpp8,0.008896835,0.977174834,2.50E-01,0.562316915
Dpp9,-0.003395662,0.998561257,-9.50E-02,0.803593988
Dppa1,0,1,0.00E+00,
Dppa2,-0.012574632,1,-4.77E-01,0.333561877
Dppa3,0.040819326,0.919485491,4.87E-01,0.325483152
Dppa4,0,1,0.00E+00,
Dppa5a,0,1,0.00E+00,
Dpt,0.699946214,0.03786514,3.09E+00,0.000817693
Dpy19l1,-0.006411837,0.990506203,-1.64E-01,0.684982407
Dpy19l2,0,1,0.00E+00,
Dpy19l3,-0.016550374,0.965900536,-3.42E-01,0.455163241
Dpy19l4,0.016683193,0.963443977,3.50E-01,0.447052257
Dpy30,-0.003378586,0.999774489,-5.85E-02,0.873993645
Dpyd,0.022833408,0.975246659,2.62E-01,0.546462098
Dpys,0.028324363,0.968738265,3.31E-01,0.466806715
Dpysl2,-0.009486705,0.980736333,-2.28E-01,0.59115454
Dpysl3,0.186945701,0.393827577,1.49E+00,0.032072668
Dpysl4,0.015677458,1,4.13E-01,0.386329027
Dpysl5,-0.023719829,0.968756427,-3.25E-01,0.472663972
Dqx1,-0.080495625,0.675683041,-9.98E-01,0.100520642
Dr1,0.007808318,0.983052031,2.15E-01,0.609643515
Dram1,0.166492073,0.425384926,1.43E+00,0.036834932
Dram2,0.034720961,0.881412266,5.94E-01,0.254534605
Drap1,-0.002551341,0.999774489,-5.57E-02,0.87959686
Draxin,-0.005344389,1,-1.14E-01,0.768479742
Drc1,-0.012550143,0.990506203,-1.66E-01,0.681849586
Drc3,-0.012960636,0.990922016,-1.51E-01,0.706794841
Drc7,-0.029241998,1,-4.89E-01,0.324051186
Drd1,0,1,0.00E+00,
Drd2,0,1,0.00E+00,
Drd3,0.005168018,1,1.41E-01,0.722452948
Drd4,0,1,0.00E+00,
Drd5,0.007893087,1,3.16E-01,0.483084741
Dreg1,-0.005926894,1,-1.30E-01,0.741198214
Dreh,0,1,0.00E+00,
Drg1,-0.021271934,0.921623761,-4.84E-01,0.327902537
Drg2,-0.001129014,0.999774489,-2.26E-02,0.949298644
Drgx,-0.026636187,1,-9.25E-01,0.118832774
Drosha,0.006449589,0.990922016,1.60E-01,0.692625066
Drp2,-0.001009785,0.999774489,-1.20E-02,0.972740428
Dsc1,0,1,0.00E+00,
Dsc2,0.126457244,0.560839008,1.20E+00,0.063756288
Dsc3,0,1,0.00E+00,
Dscam,1.630577793,1.21E-05,7.40E+00,3.96E-08
Dscaml1,0.014281786,1,1.85E-01,0.653033282
Dscc1,-0.018745818,0.983052031,-2.12E-01,0.614303799
Dse,0.013219659,0.966111949,3.41E-01,0.455650186
Dsel,0.012096578,0.990922016,1.47E-01,0.713154391
Dsg1a,0,1,0.00E+00,
Dsg1b,0,1,0.00E+00,
Dsg1c,0,1,0.00E+00,
Dsg2,-0.016568114,0.972399133,-2.82E-01,0.521890504
Dsg3,0,1,0.00E+00,
Dsg4,0,1,0.00E+00,
Dsn1,-0.002369259,0.999774489,-4.09E-02,0.910187111
Dsp,0.012089121,0.983110312,2.08E-01,0.619295975
Dspp,0,1,0.00E+00,
Dst,0.444822367,0.110318813,2.41E+00,0.003875667
Dstn,0.026757309,0.866209209,6.38E-01,0.22993718
Dstyk,0.008134984,0.990506203,1.71E-01,0.675291526
Dtd1,0.002337627,0.999774489,3.85E-02,0.915206816
Dtd2,-0.013068728,0.990922016,-1.54E-01,0.701801702
Dthd1,0.003936904,0.999774489,4.03E-02,0.911466222
Dtl,0.007210279,0.994195446,1.26E-01,0.748972968
Dtna,0.022836845,1,4.76E-01,0.334366421
Dtnb,-0.01225417,0.975006275,-2.73E-01,0.532895004
Dtnbp1,0.009424321,0.978835287,2.34E-01,0.58299578
Dtwd1,-0.193136415,0.379781857,-1.52E+00,0.030139488
Dtwd2,0.01682509,0.980736333,2.28E-01,0.59112834
Dtx1,-0.558027527,0.024328565,-3.35E+00,0.000442196
Dtx2,-0.005513163,0.993240909,-1.36E-01,0.730405199
Dtx3,-0.247711779,0.221583361,-1.93E+00,0.011827233
Dtx3l,0.000395902,0.999774489,9.23E-03,0.978964552
Dtx4,0.004739068,0.994904172,1.13E-01,0.77162156
Dtymk,-0.039811813,0.861657432,-6.51E-01,0.223290602
Dubr,0.00289608,0.999774489,3.28E-02,0.927293835
Duox1,0,1,0.00E+00,
