gene,fold.change,p.adjvalue,rank,pvalue
Pip5kl1,0.156949617,0.373690027,1.33E+00,0.046250131
Pipox,0.002260625,0.991353247,1.03E-02,0.976643408
Pir,0.28161749,0.252920846,1.86E+00,0.013916686
Pira1,0,1,0.00E+00,
Pira12,-0.004438103,1,-8.48E-02,0.822616082
Pira13,-0.009386057,1,-1.93E-01,0.641024157
Pira2,0,1,0.00E+00,
Pirb,0.008708335,1,1.26E-01,0.747554853
Pirt,0.046575653,0.607154886,6.29E-01,0.234821003
Pisd,-0.061393822,0.782288572,-2.95E-01,0.507425066
Pithd1,0.040264634,0.85776562,1.82E-01,0.657226512
Pitpna,-0.037040715,0.866626954,-1.71E-01,0.674483855
Pitpnb,-0.100761942,0.649080631,-5.34E-01,0.292627608
Pitpnc1,0.184589402,0.387567835,1.28E+00,0.052705005
Pitpnm1,0.116037874,0.599856864,6.44E-01,0.226878632
Pitpnm2,0.154532315,0.498235349,9.40E-01,0.114695835
Pitpnm2os1,0,1,0.00E+00,
Pitpnm2os2,0,1,0.00E+00,
Pitpnm3,-0.185567396,0.418690585,-1.17E+00,0.067359297
Pitrm1,-0.089967856,0.678046508,-4.77E-01,0.333735904
Pitx1,0.039009094,0.703307051,4.26E-01,0.3752836
Pitx2,0.019389868,0.908230621,1.15E-01,0.768133754
Pitx3,0,1,0.00E+00,
Piwil1,0,1,0.00E+00,
Piwil2,0.020727959,0.888879227,1.40E-01,0.723703018
Piwil4,0.058494722,0.784450678,2.92E-01,0.510889089
Pja1,-0.075084715,0.728800877,-3.81E-01,0.416206872
Pja2,-0.134734459,0.535762154,-8.35E-01,0.146272392
Pjvk,-0.00367107,1,-5.62E-02,0.87862821
Pkd1,0.078091999,0.715387663,4.03E-01,0.395594134
Pkd1l1,-0.004997102,1,-9.63E-02,0.80113492
Pkd1l2,-0.019098882,1,-4.05E-01,0.393220166
Pkd1l3,-0.129162846,0.458582087,-1.05E+00,0.088391561
Pkd2,-0.024748909,0.904809175,-1.19E-01,0.759559034
Pkd2l1,-0.018440863,0.929344517,-8.60E-02,0.820276506
Pkd2l2,-0.019324855,0.86332461,-1.76E-01,0.666957226
Pkdcc,-0.053794701,0.805901254,-2.54E-01,0.55659452
Pkdrej,-0.03163036,0.839163671,-2.09E-01,0.618445485
Pkhd1,-0.10023732,0.586120583,-6.78E-01,0.209996837
Pkhd1l1,-0.001457043,1,-1.98E-02,0.955464145
Pkia,-0.018225685,0.921308111,-9.69E-02,0.800035182
Pkib,0.014236853,0.922363954,9.58E-02,0.801973036
Pkig,0.026995994,0.907806913,1.16E-01,0.766202624
Pklr,-0.158977762,0.494257736,-9.55E-01,0.110893257
Pkm,-0.082702725,0.706126407,-4.21E-01,0.379574302
Pkmyt1,0.13749036,0.55107462,7.86E-01,0.163726271
Pkn1,-0.118825116,0.59463044,-6.56E-01,0.220984694
Pkn2,-0.139941078,0.537199418,-8.25E-01,0.149589165
Pkn3,0.12425553,0.575669456,7.09E-01,0.195541121
Pknox1,0.045959797,0.837462445,2.11E-01,0.615880583
Pknox2,0.067420792,0.591178109,6.66E-01,0.215948334
Pkp1,-0.086185603,0.677193358,-4.79E-01,0.332144628
Pkp2,-0.019992272,0.92962863,-8.58E-02,0.82069521
Pkp3,-0.018030505,0.937157152,-7.66E-02,0.838232814
Pkp4,0.082412707,0.706824046,4.19E-01,0.381396416
Pla1a,0.156773228,0.338254367,1.48E+00,0.032914979
Pla2g10,-0.013935432,0.95378823,-5.71E-02,0.876828139
Pla2g10os,-0.124743807,0.521079448,-8.83E-01,0.130949826
Pla2g12a,0.123241066,0.572174382,7.19E-01,0.190771455
Pla2g12b,-0.048741917,0.681981924,-4.69E-01,0.339861649
Pla2g15,-0.023317632,0.918005894,-1.01E-01,0.792911214
Pla2g1b,0,1,0.00E+00,
Pla2g2c,0.12802343,0.486939706,9.74E-01,0.106240301
Pla2g2d,-0.009001658,1,-9.52E-02,0.803224129
Pla2g2e,-0.011353137,1,-1.75E-01,0.667990606
Pla2g2f,0.053018112,0.800817526,2.62E-01,0.547135255
Pla2g3,-0.063834928,0.758880141,-3.30E-01,0.467474188
Pla2g4a,-0.009633103,0.969119445,-3.86E-02,0.915023357
Pla2g4b,0,1,0.00E+00,
Pla2g4c,-0.149320214,0.463078139,-1.04E+00,0.090624673
Pla2g4d,-0.073782819,0.516830229,-8.94E-01,0.127788784
Pla2g4e,0.007378394,1,8.37E-02,0.824706618
Pla2g4f,-0.026195176,0.892333107,-1.36E-01,0.730807162
Pla2g5,0.06793425,0.75195281,3.43E-01,0.4542869
Pla2g6,0.107870692,0.629919932,5.81E-01,0.262166897
Pla2g7,0.062399136,0.711417348,4.11E-01,0.387802396
Pla2r1,0.479638597,0.146275897,2.50E+00,0.003135679
Plaa,-0.092755386,0.659999347,-5.12E-01,0.307664507
Plaat1,-0.004464774,1,-8.53E-02,0.821586281
Plaat3,0.14323024,0.533065626,8.46E-01,0.142500586
Plaat5,-0.013120506,1,-1.47E-01,0.712077039
Plac1,0.004573961,1,8.64E-02,0.819575773
Plac8,-0.182512794,0.439473554,-1.11E+00,0.078328494
Plac8l1,-0.036247149,0.718588935,-3.98E-01,0.400076021
Plac9,0.539936868,0.063413247,3.21E+00,0.000616599
Plag1,-0.008538749,0.967963331,-3.98E-02,0.91241633
Plagl1,0.079586627,0.554693541,7.71E-01,0.169326692
Plagl2,-0.142943474,0.458464905,-1.06E+00,0.087976181
Plat,0.039425723,0.7958495,2.73E-01,0.533943563
Platr10,0,1,0.00E+00,
Platr11,0,1,0.00E+00,
Platr14,-0.004464774,1,-8.53E-02,0.821586281
Platr20,0,1,0.00E+00,
Platr21,0,1,0.00E+00,
Platr22,0,1,0.00E+00,
Platr25,0.020209899,0.929962528,8.55E-02,0.82120218
Platr26,-0.028710394,0.785339464,-2.90E-01,0.513325489
Platr27,0.075680489,0.559770677,7.59E-01,0.174089137
Platr29,0.005950106,1,6.05E-02,0.869871677
Platr3,0,1,0.00E+00,
Platr30,0,1,0.00E+00,
Platr4,-0.002995207,1,-2.84E-02,0.936645334
Platr5,-0.009386057,1,-1.93E-01,0.641024157
Platr6,-0.009085002,1,-1.86E-01,0.65146485
Platr7,0,1,0.00E+00,
Platr8,0,1,0.00E+00,
Platr9,0,1,0.00E+00,
Plau,0.08871019,0.537761761,8.23E-01,0.150147455
Plaur,0.155191462,0.401880716,1.23E+00,0.059509108
Plb1,-0.013286899,1,-2.89E-01,0.514180122
Plbd1,-0.381209645,0.14715465,-2.47E+00,0.003379147
Plbd2,-0.127934547,0.564473391,-7.44E-01,0.180453377
Plcb1,0.212332356,0.346399265,1.46E+00,0.03472572
