gene,fold.change,p.adjvalue,rank,pvalue
Stx8,0.067266737,0.756936892,0.352531218,0.444087738
Stxbp1,0.099093646,0.626546448,0.550576847,0.281464193
Stxbp2,0.082157126,0.673987204,0.480035279,0.331104224
Stxbp3,0.071610898,0.733107191,0.388330386,0.408949436
Stxbp4,0.030183566,0.902718292,0.135876824,0.731346481
Stxbp5,-0.792822238,1.46E-05,-6.718966633,1.91E-07
Stxbp5l,0.134203372,0.50030904,0.755071765,0.175763315
Stxbp6,0.312565566,0.244966267,1.317209487,0.048171538
Styk1,0.307245203,0.231434888,1.355554399,0.044100712
Styx,-0.010890904,0.970736736,-0.045692166,0.900135384
Styxl1,0.005067799,0.987961176,0.019200537,0.956752185
Styxl2,0,1,0,
Sub1,-0.256938037,0.129324885,-1.747214229,0.017897228
Sucla2,0.055242443,0.805200408,0.282560706,0.521722172
Suclg1,0.01361457,0.962228889,0.059263125,0.872442623
Suclg2,0.108619714,0.557977875,0.653809725,0.221916848
Sucnr1,0.091566246,1,1.05769205,0.087560443
Suco,-0.390020343,0.026770081,-2.715528659,0.00192518
Suds3,-0.096495685,0.610779899,-0.573729331,0.266852127
Sufu,-0.002629262,0.993185589,-0.01093502,0.975135529
Sugct,0.001613868,0.996100995,0.005945726,0.98640275
Sugp1,-0.057298661,0.791197634,-0.302561911,0.498239424
Sugp2,0.012147193,0.966399369,0.05263337,0.885863137
Sugt1,-0.094497671,0.623751813,-0.554860708,0.278701491
Sulf1,-0.130917848,0.547712708,-0.673216287,0.212218731
Sulf2,-0.059751556,0.783065838,-0.315400808,0.483725734
Sult1a1,0.011369813,0.969837501,0.046862671,0.897712616
Sult1b1,0.148327658,0.53243217,0.697596282,0.200633624
Sult1c1,0,1,0,
Sult1c2,0.232893828,1,2.043117061,0.009054885
Sult1d1,0.574355131,0.075302908,2.106802244,0.007819838
Sult1e1,0,1,0,
Sult2a1,0,1,0,
Sult2a2,0.020414792,1,0.260718738,0.54863216
Sult2a3,0,1,0,
Sult2a4,0,1,0,
Sult2a5,-0.011511084,1,-0.112823525,0.771216788
Sult2a6,0,1,0,
Sult2a7,0,1,0,
Sult2a8,0,1,0,
Sult2b1,-0.260960669,0.301987565,-1.157851819,0.06952615
Sult3a1,0,1,0,
Sult3a2,0,1,0,
Sult4a1,-0.025430245,1,-0.162194087,0.688344605
Sult5a1,0.003100896,1,0.024443458,0.945271452
Sult6b1,0.029987355,1,0.260523343,0.548879053
Sult6b2,-0.134462047,0.506679747,-0.741843221,0.18119941
Sumf1,0.076083158,0.715611673,0.413156355,0.386227902
Sumf2,0.028871709,0.908622345,0.128627909,0.743656008
Sumo1,-0.20102573,0.218646171,-1.395905649,0.040187811
Sumo2,-0.059916664,0.783101957,-0.314802246,0.484392883
Sumo3,-0.003579236,0.99062369,-0.015035564,0.965971773
Sun1,-0.030727679,0.897051937,-0.145617518,0.715125858
Sun2,-0.371385065,0.023786536,-2.780551703,0.00165748
Sun3,0,1,0,
Sun5,0,1,0,
Suox,0.161812822,0.432959584,0.879486782,0.131981548
Supt16,0.047479469,0.828385472,0.244868215,0.569025573
Supt20,-0.01631007,0.952140311,-0.07329065,0.844713334
Supt3,-0.020536192,0.938215825,-0.090220803,0.812417363
Supt4a,-0.279282433,0.095470385,-1.947708573,0.011279541
Supt4b,0,1,0,
Supt5,-0.129970408,0.447591483,-0.853090138,0.140252258
Supt6,-0.069947033,0.732280277,-0.389520132,0.407830656
Supt7l,0.018946789,0.945222467,0.082095222,0.827760651
Supv3l1,-0.055889353,0.805754659,-0.281443774,0.52306568
Surf1,-0.054267217,0.811373683,-0.270961147,0.535844593
Surf2,-0.443371979,0.031503943,-2.622364509,0.002385808
Surf4,0.292508373,0.068240793,2.169435645,0.006769621
Surf6,-0.202568734,0.260566248,-1.27090976,0.0535908
Susd1,0.11988416,0.502383984,0.751548111,0.177195174
Susd2,-0.028060199,0.915518029,-0.119062534,0.760216806
Susd3,0.01238179,0.966399369,0.053065855,0.884981404
Susd4,-1.128463631,0.001869288,-4.191789027,6.43E-05
Susd5,0.001694154,1,0.017491181,0.960525323
Susd6,0.045022216,0.841992706,0.226709035,0.593322701
Suv39h1,0.032235502,0.894275002,0.149504192,0.708754465
Suv39h2,-0.205775604,0.355365338,-1.037547332,0.091717597
Suz12,-0.0713968,0.722842867,-0.402861178,0.395493019
Sv2a,-0.06815913,0.787185994,-0.309267238,0.490605895
Sv2b,0.039154399,1,0.207441968,0.620237517
Sv2c,-0.023939845,0.933105513,-0.09676198,0.800272734
Sva,0,1,0,
Sval1,0.08423913,1,0.990083397,0.102309651
Sval2,0,1,0,
Sval3,0,1,0,
Svbp,-0.178265654,0.356059723,-1.035700356,0.092108486
Svep1,-0.145742165,0.4835305,-0.783799168,0.164513231
Svil,-0.162833468,0.321057871,-1.111111298,0.077426335
Svip,-0.011463557,0.971208731,-0.045141026,0.901278424
Svop,-0.005973214,1,-0.062064077,0.866833971
Svopl,0.026645748,1,0.356167313,0.440385171
Svs3a,0,1,0,
Svs3b,0,1,0,
Svs4,0,1,0,
Svs5,0,1,0,
Svs6,0,1,0,
Swap70,0.076558396,0.708420467,0.425674434,0.375254204
Swi5,0.040642169,0.860893539,0.198592842,0.633005026
Swsap1,0.091795988,0.703938962,0.430662673,0.37096875
Swt1,-0.042455979,0.856805472,-0.206817771,0.621129604
Syap1,-0.059961959,0.787667813,-0.308271993,0.491731474
Sybu,0.071119827,1,0.647605266,0.225109972
Syce1,0.04619556,1,0.437325856,0.365320585
Syce1l,-0.039475901,1,-0.213644669,0.61144209
Syce2,-0.05956868,0.805754659,-0.281329362,0.523203497
Syce3,-0.054324236,1,-0.677609395,0.210082852
Sycn,0.268030217,1,2.214330551,0.006104772
Sycp1,0.026645748,1,0.356167313,0.440385171
Sycp2,-0.081789216,0.716002949,-0.412267749,0.387018968
Sycp2l,-0.007300167,1,-0.033731062,0.925270974
Sycp3,-0.007536299,1,-0.037443807,0.917394629
Syde1,-0.198682222,0.416667307,-0.912354693,0.122361645
Syde2,-0.065368448,0.789461101,-0.305309652,0.495097061
Syf2,-0.570469938,0.004215029,-3.7580279,0.000174571
Syk,0.01396262,0.960290084,0.061560067,0.867840538
Sympk,0.069356566,0.731805,0.390358982,0.407043682
Syn1,0.027352324,1,0.142692093,0.719959235
Syn2,0.140860074,1,1.016950165,0.096172263
Syn3,0.292377046,0.251545519,1.297402378,0.050419394
Syna,0.190640606,0.399187338,0.944451968,0.113644398
Synb,0,1,0,
Sync,-0.031274587,1,-0.16370909,0.685947551
Syncrip,-0.0270773,0.909413809,-0.127502726,0.745585192
Syndig1,0.003064773,1,0.032059541,0.928839035
Syndig1l,0.036616159,1,0.36841873,0.42813553
Syne1,-0.622696816,0.008987108,-3.341368625,0.00045565
Syne2,0.017144194,0.950526344,0.07513572,0.841132241
Syne3,0.028683413,0.90740116,0.130771371,0.739994734
Syne4,0.032210526,0.904903574,0.133443403,0.735455834
Syngap1,0.017075316,0.954660554,0.069356647,0.852399827
Syngr1,-0.05189599,0.825197019,-0.250301612,0.561950922
Syngr2,0.126441453,0.452828235,0.842270963,0.143790117
Syngr3,-0.010499058,1,-0.049957213,0.89133875
Syngr4,-0.053775075,1,-0.408695485,0.390215499
Synj1,-0.168285181,0.333645065,-1.082652814,0.082669857
Synj2,-0.179507636,0.35204011,-1.044368216,0.090288364
Synj2bp,0,1,0,
Synm,-0.073322082,1,-0.4896258,0.323872594
Synpo,-0.058576323,0.81316856,-0.268050148,0.539448329
Synpo2,0.585020279,0.080440801,2.061015108,0.008689302
Synpo2l,0.078013021,1,0.484872709,0.327436652
Synpr,0,1,0,
Synrg,0.05156257,0.812148526,0.269907089,0.537146699
Syp,-0.008612406,0.979172803,-0.032615492,0.927650767
Sypl1,0.493884911,0.00688683,3.48953006,0.000323944
Sypl2,0.304397068,1,2.331578763,0.004660379
Sys1,0.077149446,0.712730685,0.418224101,0.381747234
Syt1,0.036445395,1,0.342008848,0.454978791
Syt10,0.057586701,1,0.710706312,0.194667606
Syt11,0.025511062,0.921727868,0.113098933,0.770727876
Syt12,-0.032740613,1,-0.234961583,0.582154712
Syt13,0.04041511,0.856872076,0.20572521,0.622694156
Syt14,-0.040597224,1,-0.274220135,0.531838613
Syt15,-0.07739457,1,-0.523504642,0.299567957
Syt16,-0.007819449,1,-0.06376807,0.863439535
Syt17,-0.012219055,1,-0.089727259,0.813341141
Syt2,0.05541063,1,0.366364717,0.430165209
Syt3,-0.017142093,0.951013216,-0.074599012,0.842172369
Syt4,0.003064773,1,0.032059541,0.928839035
Syt5,0.12911183,1,1.120211219,0.075820873
Syt6,0.022275127,1,0.1631659,0.686806031
Syt7,-0.02441025,0.932995599,-0.097532367,0.798854403
Syt8,-0.039803114,1,-0.326416742,0.471610274
Syt9,0,1,0,
Sytl1,-0.104797491,0.636967114,-0.533005992,0.293085281
Sytl2,-1.043434403,2.56E-05,-6.42365865,3.77E-07
Sytl3,-1.269804226,1.21E-08,-10.15676722,6.97E-11
Sytl4,0.10012734,0.677359745,0.472659055,0.336775853
Sytl5,0.188090853,0.328050427,1.096643237,0.080049157
Syvn1,0.696578523,0.000426118,4.978810701,1.05E-05
Szrd1,0.001334993,0.996100995,0.005624614,0.987132354
Szt2,-0.164799754,0.298428824,-1.168660734,0.067817108
T,0,1,0,
T2,0.02646133,0.922983428,0.111192074,0.774119355
Taar1,0,1,0,
Taar2,0,1,0,
Taar3,0,1,0,
Taar4,0,1,0,
Taar5,0,1,0,
Taar6,0,1,0,
Taar7a,0,1,0,
Taar7b,0,1,0,
Taar7d,0,1,0,
Taar7e,0,1,0,
Taar7f,0,1,0,
Taar8a,0,1,0,
Taar8b,0,1,0,
Taar8c,0,1,0,
Taar9,0,1,0,
Tab1,-0.026814151,0.913407423,-0.122291902,0.754584878
Tab2,-0.098039918,0.580507143,-0.615666059,0.242289136
Tab3,-0.056704847,0.800972675,-0.287753929,0.515520656
